Zeilen-Nr.;FLIK;Nationalität;Bundesland;Gemarkungsnummer;Flur-Nr.;Flurstücks-Nr.;Unter-Nr.;Katasterfläche;Los-Nr.;NC-Vorjahr;Nutzfl. ohne LE - VJ;Fläche d. LE - VJ;Nutzfl. ggf. m. LE - VJ;Stilllegungsfähigkeit;Pflegemangel AZW/EAP;Schlag-Nr. VJ;Schlagnummer;Skizze;Nutzfläche ohne LE;Fläche der LE;Kulturart;Code der Kultur;Dauergrünlandstatus;Aktivierung von Zahlungsansprüchen ;Verpächter ;Gekoppelte Maßnahmen ;NAWARO Vertragsnummer;Tabak-Nr.;Code für Hopfensorte;Datum der Erstaufforstung ;Cross Compliance;Beantragung LPR;Meka1;Meka2;Meka3;Meka4;Meka5;Meka6;Meka7;Anmeldung Herbstmulchsaat;Beantragung SchALVO;AZW/EAP-Besitzart;Schlagname;
23;;D;08;8950;;979;;0,2311;;451;0,23;;;;;5;5;;0,23;;WIESEN;451;D;1;;T;;;;;N;;31;;;;;;;;;;Schlag5;
24;;D;08;8950;;980;2;0,387;;451;0,38;;;;;5;5;;0,38;;WIESEN;451;D;1;;T;;;;;N;;31;;;;;;;;;;Schlag5;
25;;D;08;8950;;981;;2,8526;;451;0,32;;;;;5;5;;0,32;;WIESEN;451;D;1;;T;;;;;N;;31;;;;;;;;;;Schlag5;
26;;D;08;8950;;981;;2,8526;;422;1,84;;;ST;;6;6;;1,84;;KLEEGRAS;422;;1;;T;;;;;N;;;;;;;;;;;;Schlag6;
27;;D;08;8950;;981;;2,8526;;422;0,69;;;ST;;6;6;;0,69;;KLEEGRAS;422;;1;;T;;;;;N;;;;;;;;;;;;Schlag6;
28;;D;08;8950;;982;;2,9019;;451;0,20;;;;;5;5;;0,20;;WIESEN;451;D;1;;T;;;;;N;;31;;;;;;;;;;Schlag5;
29;;D;08;8950;;982;;2,9019;;422;2,70;;;ST;;6;6;;2,70;;KLEEGRAS;422;;1;;T;;;;;N;;;;;;;;;;;;Schlag6;
30;;D;08;8950;;1721;;4,0419;;451;0,78;;;;;7;7;;0,78;;WIESEN;451;D;1;;T;;;;;N;;31;;;;;;;;;;Schlag7;
31;;D;08;8950;;1721;;4,0419;;422;3,26;;;ST;;8;8;;3,26;;KLEEGRAS;422;;1;;T;;;;;N;;;;;;;;;;;;Schlag8;
32;;D;08;8950;;1722;;3,158;;451;3,15;;;;;9;9;;3,15;;WIESEN;451;D;1;;T;;;;;N;;31;;;;;;;;;;Schlag9;
33;;D;08;8950;;1737;;3,4017;;451;3,40;;;;;11;11;;3,40;;WIESEN;451;D;1;;T;;;;;N;;31;;;;;;;;;;Schlag11;
34;;D;08;8950;;1739;;3,0853;;451;2,61;;;;;12;12;;2,61;;WIESEN;451;D;1;;T;;;;;N;;31;;;;;;;;;;Schlag12;
35;;D;08;8950;;1739;;3,0853;;451;0,39;;;;;12;12;;0,39;;WIESEN;451;D;1;;T;;;;;N;;31;37;;;;;;;;;Schlag12;
36;;D;08;8950;;1739;;3,0853;;991;0,09;;;;;28;28;;0,09;;WEGHOFFL;991;;;;;;;;;N;;;;;;;;;;;;Schlag28;
37;;D;08;8950;;1740;;12,5853;;451;10,77;0,15;;;;10;10;;10,77;0,15;WIESEN;451;D;1;;T;;;;;N;;31;;;;;;;;;;Schlag10;
38;;D;08;8950;;1740;;12,5853;;451;0,83;;;;;10;10;;0,83;;WIESEN;451;D;1;;T;;;;;N;;31;37;;;;;;;;;Schlag10;
39;;D;08;8950;;1740;;12,5853;;991;0,83;;;;;27;27;;0,83;;WEGHOFFL;991;;;;;;;;;N;;;;;;;;;;;;Schlag27;
40;;D;08;8950;;1741;;6,5158;;451;0,57;;;;;13;13;X;0,57;;WIESEN;451;D;1;;T;;;;;N;;31;;;;;;;;;;Schlag13;
41;;D;08;8950;;1741;;6,5158;;115;1,51;;;ST;;14;14;X;1,51;;WITRITIC;156;;1;;;;;;;N;;;;;;;;;;;;Schlag14;
42;;D;08;8950;;1741;;6,5158;;115;1,20;;;ST;;14;14;X;1,20;;WITRITIC;156;;1;;;;;;;N;;;;;;;;;;;;Schlag14;
43;;D;08;8950;;1741;;6,5158;;115;1,90;0,13;;ST;;14;14;X;1,90;0,13;WITRITIC;156;;1;;;;;;;J;;;;;;;;;;;;Schlag14;
44;;D;08;8950;;1742;;2,3884;;451;2,38;;;;;10;10;;2,38;;WIESEN;451;D;1;;T;;;;;N;;31;;;;;;;;;;Schlag10;
45;;D;08;8950;;1744;;0,2297;;451;0,19;0,03;;;;10;10;;0,19;0,03;WIESEN;451;D;1;;T;;;;;J;;31;;;;;;;;;;Schlag10;
46;;D;08;8950;;1745;;0,7411;;451;0,25;;;;;10;10;X;0,25;;WIESEN;451;D;1;;T;;;;;N;;31;;;;;;;;;;Schlag10;
47;;D;08;8952;;268;;3,3635;;451;2,93;0,09;;;;26;26;;2,93;0,09;WIESEN;451;D;1;;T;;;;;J;;31;;;;;;;;;;Schlag26;
48;;D;08;8952;;268;;3,3635;;451;0,33;;;;;26;26;;0,33;;WIESEN;451;D;1;;T;;;;;N;;31;37;;;;;;;;;Schlag26;
49;;D;08;8950;;973;;0,143;;;;;;;;;5;X;0,14;;WIESEN;451;D;1;;T;;;;;N;;31;;;;;;;;;;Schlag5;

